,point_id,point_name,sector_id,sector_name,latitude,longitude
0,5058,מאסף תוצרת תחתון,39,Industrial Main Collector**,31.850291,35.224779
1,5056,עקב 2 חדש ,39,Industrial Main Collector**,31.8606461362513,35.2191824944499
2,4386,cod בגין,484,תחנת COD,31.76471,35.192541
3,4338,ספיקה עיר סניטרי,48,Main Collector*,31.806855,35.210612
4,4210,תחנת ניטור COD כיכר עטרות,48,Main Collector*,31.84945,35.226995
5,4067,תחנת ניטור COD שרות וטרינרי הר חוצבים,484,תחנת COD,31.806832,35.209561
6,3668,ספיקה,48,Main Collector*,31.733236,35.174433
7,3436,בית ג׳אלה COD,484,תחנת COD,31.7397574,35.1724878
8,3256,מאספת,419,"shopping malls, restaurants*",31.747029,35.213414
9,3226,"ספיקה מאסף רפאים - לפני, המנהרה",48,Main Collector*,,
10,3029,Manhole ID,39,Industrial Main Collector**,31.855768,35.220324
11,2295, הר חוצבים ספיקה,48,Main Collector*,31.80661,35.210314
12,2294,ספיקה,39,Industrial Main Collector**,31.74918,35.20578
13,2292,ספיקה,48,Main Collector*,31.801487,35.172949
14,2045,מאסף שורק ישן,48,Main Collector*,31.771373,35.151885
15,1994,ספיקה מאסף שורק,48,Main Collector*,31.773397,35.155939
16,1991,שוחה אחרונה צד דרומי,419,"shopping malls, restaurants*",31.750568,35.18707
17,1908,מישור 2,39,Industrial Main Collector**,31.804944,35.312047
18,1660,אחרונה לפני חיבור,399,Hotel*,31.7747739,35.2218933
19,1584,בקר,412,Winery*,31.850452,35.2197281
20,1568,מאסף מפעלות תחתון,39,Industrial Main Collector**,31.854447,35.223483
21,1561,מאספת,48,Main Collector*,31.849448,35.226993
22,1542,מאסף עמק הארזים,48,Main Collector*,31.8011086,35.1730625
23,1530,חיצונית כוללת,410,Garage*,31.796369,35.185117
24,1490,אקווריום שוחה חיצונית,456,Other*,31.7443876,35.1651629
25,1461,סיגמה חיצוני,421,Chemistry*,31.802837,35.207081
26,1375,מאסף התוצרת עטרות,39,Industrial Main Collector**,31.85031,35.223748
27,1373,בקר רמדה ,419,"shopping malls, restaurants*",31.78356,35.197448
28,1372,בקר,399,Hotel*,31.784302,35.198125
29,1358,עטרות צפוני,39,Industrial Main Collector**,31.8596988483717,35.2196733807555
30,1340,בקר מאסף הר חוצבים דרום מערבי,39,Industrial Main Collector**,31.8026233,35.2065491
31,1338,בקר חיצוני למפעל,421,Chemistry*,31.805705,35.207044
32,1333,מאסף כפר עקב 2,48,Main Collector*,31.863168,35.220677
33,1332,מאסף כפר עקב 1,48,Main Collector*,31.864825,35.214475
34,1263,מאסף הר חוצבים צפוני,48,Main Collector*,31.806104,35.210558
35,1238,שוחה אחרונה,402,Bakery*,31.786676,35.192808
36,1192,חיצונית ממול לשער כניסה ,423,Slaughterhouse*,31.855693,35.213829
37,1191,ביציאה מהמשחטה,423,Slaughterhouse*,31.850363,35.222093
38,1104,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,399,Hotel*,31.7845603,35.2018985
39,1098,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,409,Hospital*,31.7716148,35.1866993
40,1080,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,447,"Collector: Hotel, Restaurant, Hospital*",31.7850479996128,35.1980353799045
41,1057,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,409,Hospital*,31.794882,35.184083
42,1033,אחוד,409,Hospital*,31.767233,35.151619
43,1023,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,455,Trash Transit Station*,31.795847,35.186456
44,1013,מאסף מישור אדומים,39,Industrial Main Collector**,31.805,35.31293
45,1012," תחנת ניטור COD מט""ש שורק",62,Industrial WWTP*,31.75792,35.10476
46,997,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,419,"shopping malls, restaurants*",31.789648,35.201124
47,995,תעשייתי,402,Bakery*,31.858402,35.216677
48,985,קו ראשי פעיל,455,Trash Transit Station*,31.8504,35.225107
49,976,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,447,"Collector: Hotel, Restaurant, Hospital*",31.7901529,35.227692
50,969,מאסף עטרות ביר נבאלה,39,Industrial Main Collector**,31.84994,35.21587
51,956,מאסף תלפיות,48,Main Collector*,31.74984,35.20661
52,955,קו מאסף בית גאלה,484,תחנת COD,31.74043,35.17227
53,931,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,408,Laundromat*,31.850727,35.218821
54,927,תעשייתי,402,Bakery*,31.852108,35.224426
55,925,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,399,Hotel*,31.775974,35.218305
56,919,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,399,Hotel*,31.771991,35.222324
57,916,תעשייתי,404,Food Factory*,31.850885,35.222129
58,911,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,399,Hotel*,31.788982,35.201781
59,909,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,399,Hotel*,31.7755452,35.2245594
60,907,תעשייתי,421,Chemistry*,31.8589044,35.220231
61,903,תעשייתי,404,Food Factory*,31.853433,35.21542
62,896,שוחה אחרונה,406,Cosmetic Manufacturer*,31.8555238,35.2150079
63,891,תעשייתי,409,Hospital*,31.797493,35.240243
64,888,שוחה אחרונה לפני הזרמת השפכים לביוב העירוני,419,"shopping malls, restaurants*",31.7888398,35.2026859
65,883, תחנת ניטור COD מאסף שורק,39,Industrial Main Collector**,31.77357,35.151413
66,882,תחנת ניטור COD מאסף רפאים,48,Main Collector*,31.773667,35.152001
